id,name,blurred_name
1,チュチュバナナ,〇〇〇〇ナナ
2,ハニービー,〇〇〇ビー
3,バンサー,〇〇サー
4,ウルトラグレース,〇〇〇〇〇レース
5,メルティキス,〇〇〇キス
6,ピュアハート,〇〇〇ハート
7,シャイニーガール,〇〇〇〇ガール
8,エンジェルフェザー,〇〇〇〇〇フェザー
9,プリンセスルーム,〇〇〇〇〇ルーム
10,ルビーパレス,〇〇〇パレス
11,シルクロード,〇〇〇ロード
12,ゴールデンタイム,〇〇〇〇〇タイム
13,ダイヤモンドクイーン,〇〇〇〇〇〇クイーン
14,パラダイスガーデン,〇〇〇〇〇ガーデン
15,エターナルラブ,〇〇〇〇ラブ
16,パッションフルーツ,〇〇〇〇〇フルーツ
17,スターダスト,〇〇〇ダスト
18,ミルキーウェイ,〇〇〇〇ウェイ
19,サンシャイン,〇〇〇シャイン
20,ムーンライト,〇〇〇ライト
21,フェアリーテイル,〇〇〇〇テイル
22,クリスタルパレス,〇〇〇〇〇パレス
23,サクラ,〇〇ラ
24,ロイヤルハウス,〇〇〇〇ハウス
25,ドリームキャッスル,〇〇〇〇〇キャッスル
26,人妻城,〇〇城
27,プラチナガール,〇〇〇〇ガール
28,セレブリティ,〇〇〇リティ
29,ゴージャスタイム,〇〇〇〇〇タイム
30,ラグジュアリー,〇〇〇〇リー
31,エレガントローズ,〇〇〇〇〇ローズ
32,スウィートハート,〇〇〇〇〇ハート
33,アロマテラス,〇〇〇テラス
34,ブロッサム,〇〇〇サム
35,オーシャンビュー,〇〇〇〇〇ビュー
36,カルネーション,〇〇〇〇ション
37,ホワイトリリー,〇〇〇〇リリー
38,ブルーローズ,〇〇〇ローズ
39,レッドチェリー,〇〇〇チェリー
40,ゴールドラッシュ,〇〇〇〇ラッシュ
41,シルバームーン,〇〇〇〇ムーン
42,プラチナスター,〇〇〇〇スター
43,サファイアブルー,〇〇〇〇〇ブルー
44,ルビーレッド,〇〇〇レッド
45,エメラルドグリーン,〇〇〇〇〇グリーン
46,パールホワイト,〇〇〇ホワイト
47,オニキスブラック,〇〇〇〇ブラック
48,アンバーオレンジ,〇〇〇〇オレンジ
49,アクアマリン,〇〇〇マリン
50,トパーズイエロー,〇〇〇〇イエロー
